Bahan,Lanmadaw,Yankin,South_Oakklar,Hlaing,Sanchoung,Condo_name,Total_Area_squft,Bedrooms,Bathrooms,Swimming_Pool,Security,Gym,Has_Elevator,Has_Parking,View_type,Price_USD,log_price
0,0,0,0,1,0,Mahar Swae,950.0,2,6,1.0,0.0,1.0,1,1,City View,10866.67,9.293547605712762
0,0,0,0,1,0,Mahar Swae,840.0,1,3,0.0,1.0,0.0,1,0,City View,4266.67,8.358823289844702
0,0,0,0,1,0,Mahar Swae,880.0,1,1,0.0,1.0,0.0,1,1,Street View,48444.44,10.78819349524251
0,0,0,0,1,0,Mahar Swae,990.0,2,7,0.0,0.0,1.0,1,1,Garden View,9777.78,9.187970010871359
0,0,0,0,1,0,Mahar Swae,910.0,1,2,0.0,1.0,0.0,1,1,City View,34888.89,10.459952381410014
0,0,0,0,1,0,Mahar Swae,1050.0,3,8,0.0,1.0,1.0,1,1,Lake View,110888.89,11.616293005972741
0,0,0,0,1,0,Mahar Swae,870.0,1,1,0.0,1.0,0.0,1,1,Street View,3022.22,8.014077767520144
0,0,0,0,1,0,mahar swae condo,1088.0,2,2,0.0,1.0,0.0,1,1,City View,100000.0,11.51293546492023
0,0,0,0,1,0,MICT Park condo,1190.0,3,2,0.0,1.0,0.0,1,1,Lake View,16222.22,9.6941988283121
0,0,0,0,1,0,MICT Park condo,1270.0,3,2,1.0,0.0,1.0,1,1,Lake View,15333.33,9.637849384690714
0,0,0,0,1,0,Ngwe Aein San,1351.0,2,1,0.0,0.0,0.0,1,1,City View,11333.33,9.335591452240061
