Bahan,Lanmadaw,Yankin,South Oakklar,Hlaing,Sanchoung,Condo name,Total_Area_squft,Bedrooms,Bathrooms,Swimming Pool,Security,Gym,Has_Elevator,Has_Parking,View_type, Price_USD 
1,0,0,0,0,0,Thakatto Yiek Thar Condo,1020,2,1,0,0,0,1,0,City View,"$77,777.78 "
1,0,0,0,0,0,Thakatto Yiek Thar mini Condo,1190,1,1,0,1,0,1,0,City View,"$84,444.44 "
1,0,0,0,0,0,Thakatto Yiek Thar mini Condo,3315,5,2,0,1,0,1,1,City View,"$311,111.11 "
1,0,0,0,0,0,Thakatto Yiek Thar mini Condo,1080,2,1,0,0,0,1,1,City View,"$100,000.00 "
1,0,0,0,0,0,Thakatto Yiek Thar mini Condo,1020,2,1,0,1,0,1,1,City View,"$93,333.33 "
1,0,0,0,0,0,Thakatto Yiek Thar mini Condo,1200,2,2,0,1,0,1,0,City View,"$93,333.33 "
1,0,0,0,0,0,Thakatto Yiek Thar mini Condo,2040,4,3,0,0,0,1,0,City View,"$120,000.00 "
1,0,0,0,0,0,Thaketo Yiek Mon Condo,2850,3,2,0,1,0,1,1,City View,"$133,333.33 "
1,0,0,0,0,0,The Vista Condo,1147,1,1,1,0,1,1,1,City View,"$193,333.33 "
1,0,0,0,0,0,The Vista Condo,1100,2,3,0,0,0,0,0,City View,"$177,777.78 "
1,0,0,0,0,0,The Vista Condo,1041,2,1,0,0,0,0,0,City View,"$277,777.78 "
1,0,0,0,0,0,The Vista Condo,984,2,1,1,0,1,1,1,City View,"$76,666.67 "
1,0,0,0,0,0,Thekatto Yiek Thar Condo,1755,2,1,0,0,0,1,0,City View,"$122,222.22 "
1,0,0,0,0,0,Time Link Condo,1800,3,3,0,0,0,0,0,City View,"$266,666.67 "
1,0,0,0,0,0,Time Link Condo,2062,3,3,0,1,0,0,0,City View,"$531,866.67 "
1,0,0,0,0,0,Treasure Residence Condo,1765,3,1,1,1,1,1,1,City View,"$298,088.89 "
1,0,0,0,0,0,Treasure Residence Condo,1733,3,3,1,1,1,1,1,City View,"$248,888.89 "
1,0,0,0,0,0,Treasure Residence Condo,1733,3,2,1,1,1,1,1,City View,"$255,555.56 "
1,0,0,0,0,0,Treasure Residence Condo,1730,3,1,0,0,0,0,0,City View,"$255,555.56 "
1,0,0,0,0,0,U chit Mg Pagoda mini Condo,1360,3,2,0,1,0,1,1,City View,"$100,000.00 "
1,0,0,0,0,0,University  Paradise Condo,1600,3,2,0,0,0,0,0,City View,"$144,444.44 "
1,0,0,0,0,0,University  Paradise Condo,1600,3,2,0,1,0,0,1,City View,"$166,666.67 "
1,0,0,0,0,0,War Yar Latt (3) lann Condo,972,2,2,0,0,0,1,0,City View,"$77,777.78 "
1,0,0,0,0,0,West Shwe Da Gone Condo,972,2,1,0,0,0,1,0,City View,"$77,777.78 "
1,0,0,0,0,0,Yuzana Condo,1250,4,2,0,0,0,1,1,Shwe da gon View,"$113,333.33 "
1,0,0,0,0,0,Yuzana Mini Condo,1250,4,2,0,0,0,1,1,Shwe da gone View,"$113,333.33 "
1,0,0,0,0,0,Yuzana Tower,1800,3,2,0,1,0,1,1,City View,"$133,333.33 "
0,0,0,0,1,0,Ngwe Aein San,927,3,1,1,1,0,1,1,Street View,"$2,444.44 "
0,0,0,0,1,0, MICT park condo,1000,3,2,0,0,0,1,1,City View,"$87,777.78 "
0,0,0,0,1,0,Golden Parami,1283,1,1,1,1,0,1,1,City,"$12,888.89 "
0,0,0,0,1,0,Golden Parami,1330,2,1,0,0,0,1,1,Lake View,"$21,333.33 "
0,0,0,0,1,0,Golden Parami,1302,3,2,1,1,0,1,1,Street View,"$244,444.44 "
0,0,0,0,1,0,Golden Parami,1090,2,1,0,1,1,1,1,Lake View,"$11,777.78 "
0,0,0,0,1,0,Golden parami ,1803,3,2,1,1,1,1,1,City View,"$140,000.00 "
0,0,0,0,1,0,grand mya kan thar ,980,2,2,1,1,1,1,1,City View,"$188,888.89 "
0,0,0,0,1,0,khine shwe yee,1300,3,3,0,0,0,1,0,City View,"$1,311,111.11 "
0,0,0,0,1,0,Mahar Swae,890,1,2,0,1,0,1,1,City View,"$39,555.56 "
0,0,0,0,1,0,Mahar Swae,970,2,4,0,1,1,1,1,City View,"$5,200.00 "
0,0,0,0,1,0,Mahar Swae,1020,2,5,0,0,0,1,1,City View,"$8,777.78 "
0,0,0,0,1,0,Mahar Swae,950,2,6,1,0,1,1,1,City View,"$10,866.67 "
0,0,0,0,1,0,Mahar Swae,840,1,3,0,1,0,1,0,City View,"$4,266.67 "
0,0,0,0,1,0,Mahar Swae,880,1,1,0,1,0,1,1,Street View,"$48,444.44 "
0,0,0,0,1,0,Mahar Swae,990,2,7,0,0,1,1,1,Garden View,"$9,777.78 "
0,0,0,0,1,0,Mahar Swae,910,1,2,0,1,0,1,1,City View,"$34,888.89 "
0,0,0,0,1,0,Mahar Swae,1050,3,8,0,1,1,1,1,Lake View,"$110,888.89 "
0,0,0,0,1,0,Mahar Swae,870,1,1,0,1,0,1,1,Street View,"$3,022.22 "
0,0,0,0,1,0,mahar swae condo,1088,2,2,0,1,0,1,1,City View,"$100,000.00 "
0,0,0,0,1,0,MICT Park condo,1190,3,2,0,1,0,1,1,Lake View,"$16,222.22 "
0,0,0,0,1,0,MICT Park condo,1270,3,2,1,0,1,1,1,Lake View,"$15,333.33 "
